"","X","stop_id","stop_name","stop_lat","stop_lon","zone_id","stop_timezone","census_tract_id","zip"
"4216",4216,60004,"Lake Youngs Way SE & Lake Youngs Ct SE",47.467255,-122.182487,24,"America/Los_Angeles",257.02,98058
"4217",4217,60006,"Lake Youngs Way SE & Index Ct SE",47.466347,-122.180496,24,"America/Los_Angeles",257.02,98058
"4218",4218,60008,"Lake Youngs Way SE & Kirkland Ct SE",47.46595,-122.17765,24,"America/Los_Angeles",257.02,98058
"4219",4219,60010,"Edmonds Ave SE & SE 16th St",47.465134,-122.186012,24,"America/Los_Angeles",258.05,98055
"4220",4220,60012,"Lake Youngs Way SE & Kirkland Ave SE",47.464562,-122.177368,24,"America/Los_Angeles",257.02,98058
"4221",4221,60014,"Kirkland Ave SE & SE 19th Ct",47.463184,-122.176971,24,"America/Los_Angeles",257.02,98058
"4222",4222,60016,"123rd Ave SE & SE 158th St",47.461914,-122.176971,24,"America/Los_Angeles",258.04,98058
"4223",4223,60018,"126th Ave SE & SE 160th St",47.459831,-122.176476,24,"America/Los_Angeles",258.04,98058
"4224",4224,60020,"116th Ave SE & SE 20th Pl",47.461731,-122.185974,24,"America/Los_Angeles",258.05,98055
"4225",4225,60022,"116th Ave SE & SE 160th St",47.459286,-122.185997,24,"America/Los_Angeles",258.05,98055
"4226",4226,60026,"116th Ave SE & SE 164th St",47.456402,-122.186066,24,"America/Los_Angeles",258.05,98055
"4227",4227,60070,"126th Ave SE & SE 161st St",47.458855,-122.174698,24,"America/Los_Angeles",258.04,98058
"4228",4228,60080,"126th Ave SE & SE 164th St",47.456699,-122.173866,24,"America/Los_Angeles",258.04,98058
"4229",4229,60090,"SE 164th St & 127th Ave SE",47.456402,-122.172554,24,"America/Los_Angeles",258.04,98058
"4230",4230,60100,"SE 164th St & 128th Ave SE",47.456348,-122.169334,24,"America/Los_Angeles",258.04,98058
"4231",4231,60120,"SE 164th St & 131st Ave SE",47.456299,-122.165962,24,"America/Los_Angeles",258.04,98058
"4232",4232,60130,"SE Fairwood Blvd & 134th Ave SE",47.456444,-122.161545,24,"America/Los_Angeles",257.02,98058
"4233",4233,60136,"140th Way SE & SE 158th St",47.461468,-122.146545,24,"America/Los_Angeles",319.07,98058
"4234",4234,60137,"140th Way SE & SE 158th St",47.461445,-122.146736,24,"America/Los_Angeles",319.07,98058
"4235",4235,60140,"SE Fairwood Blvd & 138th Ave SE",47.455761,-122.157379,24,"America/Los_Angeles",257.02,98058
"4236",4236,60142,"SE 176th St & SE 171st Way",47.445034,-122.147873,24,"America/Los_Angeles",319.08,98058
"4237",4237,60144,"155th Ave SE & SE 175th Pl",47.445618,-122.135712,24,"America/Los_Angeles",319.08,98058
"4238",4238,60146,"SE 176th St & 147th Ave SE",47.445026,-122.143913,24,"America/Los_Angeles",319.08,98058
"4239",4239,60147,"155th Ave SE & SE 175th Ct",47.446629,-122.134132,24,"America/Los_Angeles",319.08,98058
"4240",4240,60148,"SE 176th St & 151st Ave SE",47.445015,-122.140564,24,"America/Los_Angeles",319.08,98058
"4241",4241,60150,"SE Fairwood Blvd & 140th Ave SE",47.4557,-122.154167,24,"America/Los_Angeles",257.02,98058
"4242",4242,60151,"SE Fairwood Blvd & 141st Ave SE",47.455662,-122.152748,24,"America/Los_Angeles",319.08,98058
"4243",4243,60152,"SE Fairwood Blvd & 145th Ave SE",47.453373,-122.147774,24,"America/Los_Angeles",319.08,98058
"4244",4244,60153,"SE Fairwood Blvd & 148th Ave SE",47.451813,-122.143517,24,"America/Los_Angeles",319.08,98058
"4245",4245,60154,"SE Fairwood Blvd & 150th Ave SE",47.451775,-122.140785,24,"America/Los_Angeles",319.08,98058
"4246",4246,60155,"SE Fairwood Blvd & SE 170th St",47.450691,-122.139076,24,"America/Los_Angeles",319.08,98058
"4247",4247,60156,"SE Fairwood Blvd & SE 171st Pl",47.448509,-122.136887,24,"America/Los_Angeles",319.08,98058
"4248",4248,60157,"SE Fairwood Blvd & 154th Pl SE",47.44862,-122.134499,24,"America/Los_Angeles",319.08,98058
"4249",4249,60158,"156th Ave SE & SE Fairwood Blvd",47.449673,-122.131927,24,"America/Los_Angeles",319.07,98058
"4250",4250,60159,"SE 176th St & SE Petrovitsky Rd",47.444721,-122.150497,24,"America/Los_Angeles",319.08,98058
"4251",4251,60161,"SE 177th St & 140th Ave SE",47.443913,-122.152679,24,"America/Los_Angeles",319.09,98058
"4252",4252,60162,"SE Fairwood Blvd & SE 168th St",47.451096,-122.130554,24,"America/Los_Angeles",319.07,98058
"4253",4253,60163,"SE Fairwood Blvd & 160th Pl SE",47.45163,-122.127434,24,"America/Los_Angeles",319.07,98058
"4254",4254,60164,"161st Ave SE & SE 174th St",47.446739,-122.125526,24,"America/Los_Angeles",319.07,98058
"4255",4255,60165,"161st Ave SE & SE 176th Pl",47.444378,-122.126778,24,"America/Los_Angeles",319.07,98058
"4256",4256,60166,"SE 179th St & 160th Ave SE",47.441544,-122.127098,24,"America/Los_Angeles",319.07,98058
"4257",4257,60167,"SE 179th St & 159th Ave SE",47.441414,-122.12883,24,"America/Los_Angeles",319.08,98058
"4258",4258,60168,"SE 179th St & 156th Pl SE",47.440388,-122.131493,24,"America/Los_Angeles",319.08,98058
"4259",4259,60172,"SE 179th St & 154th Ave SE",47.441143,-122.135551,24,"America/Los_Angeles",319.08,98058
"4260",4260,60173,"SE 179th St & 152nd Pl SE",47.442276,-122.138145,24,"America/Los_Angeles",319.08,98058
"4261",4261,60174,"SE Petrovitsky Rd & SE 176th St",47.443405,-122.145798,24,"America/Los_Angeles",319.08,98058
"4262",4262,60175,"SE Petrovitsky Rd & SE 176th St",47.444611,-122.150116,24,"America/Los_Angeles",319.08,98058
"4263",4263,60177,"SE Petrovitsky Rd & 134th Ave SE",47.446861,-122.161957,24,"America/Los_Angeles",258.04,98058
"4264",4264,60180,"128th Ave SE & SE Petrovitsky Rd",47.446728,-122.16996,24,"America/Los_Angeles",258.03,98058
"4265",4265,60185,"SE Petrovitsky Rd & 140th Ave SE",47.445721,-122.154678,24,"America/Los_Angeles",258.04,98058
"4266",4266,60190,"128th Ave SE & SE 172nd St",47.448784,-122.169891,24,"America/Los_Angeles",258.03,98058
"4267",4267,6020,"N 43rd St & Fremont Ave N",47.658882,-122.350266,1,"America/Los_Angeles",49,98103
"4268",4268,60202,"128th Ave SE & SE 169th Pl",47.451416,-122.1698,24,"America/Los_Angeles",258.04,98058
"4269",4269,60220,"SE 168th St & 127th Ave SE",47.452419,-122.173325,24,"America/Los_Angeles",258.04,98058
"4270",4270,60230,"SE 168th St & 125th Ave SE",47.452446,-122.175682,24,"America/Los_Angeles",258.03,98058
"4271",4271,60240,"SE 168th St & 122nd Ave SE",47.452469,-122.178551,24,"America/Los_Angeles",258.03,98058
"4272",4272,60250,"SE 168th St & 120th Ave SE",47.452492,-122.180573,24,"America/Los_Angeles",258.03,98058
"4273",4273,60260,"SE 168th St & 117th Ave SE",47.452526,-122.184219,24,"America/Los_Angeles",258.03,98058
"4274",4274,60270,"116th Ave SE & SE 168th St",47.451683,-122.186165,24,"America/Los_Angeles",258.05,98055
"4275",4275,60280,"116th Ave SE & SE 169th St",47.450252,-122.186188,24,"America/Los_Angeles",258.05,98055
"4276",4276,60290,"116th Ave SE & SE 176th St",47.445618,-122.186256,24,"America/Los_Angeles",258.05,98055
"4277",4277,6030,"Fremont Ave N & N 41st St",47.656425,-122.350044,1,"America/Los_Angeles",49,98103
"4278",4278,60300,"SE Petrovitsky Rd & 113th Pl SE",47.445259,-122.189552,24,"America/Los_Angeles",258.05,98055
"4279",4279,60310,"SE Petrovitsky Rd & 110th Ave SE",47.445328,-122.194183,24,"America/Los_Angeles",258.05,98055
"4280",4280,60320,"SE Carr Rd & 108th Ave SE",47.445293,-122.198212,24,"America/Los_Angeles",258.06,98055
"4281",4281,60340,"SE Carr Rd & 103rd Ave SE",47.442966,-122.203674,24,"America/Los_Angeles",258.06,98055
"4282",4282,60350,"SE Carr Rd & 98th Ave S",47.442299,-122.209114,24,"America/Los_Angeles",258.06,98055
"4283",4283,60359,"Talbot Rd S & S 32nd St",47.451027,-122.211533,24,"America/Los_Angeles",258.06,98055
"4284",4284,60360,"S 43rd St & Talbot Rd S",47.441181,-122.213249,24,"America/Los_Angeles",258.06,98055
"4285",4285,60361,"Talbot Rd S & S Carr Rd",47.44202,-122.212349,24,"America/Los_Angeles",258.06,98055
"4286",4286,60362,"Talbot Rd S & S 177th St",47.444317,-122.211342,24,"America/Los_Angeles",258.06,98055
"4287",4287,60363,"Talbot Rd S & S 37th St",47.446846,-122.210884,24,"America/Los_Angeles",258.06,98055
"4288",4288,60364,"Talbot Rd S & S 27th Pl",47.455627,-122.212585,24,"America/Los_Angeles",258.06,98055
"4289",4289,60366,"Talbot Rd S & S 23rd St",47.459106,-122.212051,24,"America/Los_Angeles",258.06,98055
"4290",4290,60367,"Talbot Rd S & S 26th St",47.457172,-122.212708,24,"America/Los_Angeles",258.06,98055
"4291",4291,60370,"SW 43rd St & E Valley Hwy",47.441185,-122.220695,24,"America/Los_Angeles",262,98057
"4292",4292,60372,"SW 43rd St & Oakesdale Ave SW",47.441219,-122.22776,24,"America/Los_Angeles",262,98057
"4293",4293,60373,"Lind Ave SW & SW 43rd St",47.441509,-122.223854,24,"America/Los_Angeles",262,98057
"4294",4294,60374,"SW 43rd St & Lind Ave SW",47.441212,-122.224648,24,"America/Los_Angeles",262,98057
"4295",4295,60375,"SW 43rd St & Oakesdale Ave SW",47.441242,-122.234001,24,"America/Los_Angeles",262,98057
"4296",4296,60376,"SW 43rd St & Oakesdale Ave SW",47.44125,-122.238007,24,"America/Los_Angeles",262,98057
"4297",4297,60378,"S 180th St & 72nd Ave S",47.441288,-122.243538,24,"America/Los_Angeles",262,98188
"4298",4298,60380,"Andover Park W & S 180th St",47.441734,-122.254478,24,"America/Los_Angeles",262,98188
"4299",4299,60390,"Andover Park W & Triland Dr",47.443268,-122.25444,24,"America/Los_Angeles",262,98188
"4300",4300,6040,"Fremont Ave N & N 39th St",47.655037,-122.350021,1,"America/Los_Angeles",49,98103
"4301",4301,60400,"Andover Park W & Midland Dr",47.445721,-122.254395,24,"America/Los_Angeles",262,98188
"4302",4302,60410,"Andover Park W & Minkler Blvd",47.448837,-122.254326,24,"America/Los_Angeles",262,98188
"4303",4303,60420,"Andover Park W & Corporate Dr N",47.450767,-122.254303,24,"America/Los_Angeles",262,98188
"4304",4304,60435,"Baker Blvd & Andover Park W",47.45816,-122.253723,24,"America/Los_Angeles",262,98188
"4305",4305,60442,"Andover Park E & Evans Black Dr",47.459484,-122.249901,24,"America/Los_Angeles",262,98188
"4306",4306,60450,"132nd Ave SE & SE 256th St",47.371876,-122.16552,24,"America/Los_Angeles",295.02,98030
"4307",4307,60453,"Lake Meridian P&R & 132 AV S IN LOOP",47.360935,-122.166191,24,"America/Los_Angeles",295.02,98030
"4308",4308,60454,"132nd Ave SE & SE 260th St",47.368839,-122.165535,24,"America/Los_Angeles",295.02,98030
"4309",4309,60455,"132nd Ave SE & SE 263rd Pl",47.365337,-122.16555,24,"America/Los_Angeles",295.02,98030
"4310",4310,60456,"132nd Ave SE & SE 266th St",47.363442,-122.16555,24,"America/Los_Angeles",295.02,98030
"4311",4311,60457,"132nd Ave SE & SE 268th St",47.361103,-122.165565,24,"America/Los_Angeles",295.02,98030
"4312",4312,60459,"Kent Kangley Rd & 132nd Ave SE",47.358135,-122.165916,24,"America/Los_Angeles",295.02,98030
"4313",4313,60461,"Kent Kangley Rd & 127th Ave SE",47.360706,-122.171463,24,"America/Los_Angeles",295.02,98030
"4314",4314,60463,"Kent Kangley Rd & 124th Ave SE",47.362858,-122.175072,24,"America/Los_Angeles",295.02,98030
"4315",4315,60465,"Kent Kangley Rd & 116th Ave SE",47.367207,-122.187172,24,"America/Los_Angeles",295.03,98030
"4316",4316,60467,"Kent Kangley Rd & 111th Ave SE",47.369503,-122.193687,24,"America/Los_Angeles",295.03,98030
"4317",4317,60469,"Kent Kangley Rd & 108th Ave SE",47.370792,-122.197334,24,"America/Los_Angeles",295.03,98030
"4318",4318,60471,"Kent Kangley Rd & 108th Ave SE",47.370464,-122.196869,24,"America/Los_Angeles",296.01,98030
"4319",4319,60473,"Kent Kangley Rd & 111th Ave SE",47.369122,-122.193047,24,"America/Los_Angeles",296.01,98030
"4320",4320,60475,"Kent Kangley Rd & 127th Ave SE",47.360516,-122.171516,24,"America/Los_Angeles",296.01,98030
"4321",4321,60477,"Kent Kangley Rd & 124th Ave SE",47.362938,-122.175743,24,"America/Los_Angeles",296.01,98030
"4322",4322,60479,"Kent Kangley Rd & 116th Ave SE",47.367012,-122.18708,24,"America/Los_Angeles",296.01,98030
"4323",4323,60480,"Kent Kangley Rd & 132nd Ave SE",47.357994,-122.165932,24,"America/Los_Angeles",296.01,98030
"4324",4324,60482,"132nd Ave SE & SE Kent-Kangley Rd",47.358505,-122.165375,24,"America/Los_Angeles",317.03,NA
"4325",4325,60484,"132nd Ave SE & SE 266th St",47.363327,-122.165359,24,"America/Los_Angeles",317.03,NA
"4326",4326,60485,"SE 272nd St & 144th Ave SE",47.357941,-122.148354,24,"America/Los_Angeles",317.04,NA
"4327",4327,60486,"132nd Ave SE & SE 260th St",47.368919,-122.165329,24,"America/Los_Angeles",317.03,NA
"4328",4328,60487,"132nd Ave SE & SE 263rd Pl",47.366001,-122.165344,24,"America/Los_Angeles",317.03,NA
"4329",4329,60489,"SE 272nd St & 132nd Ave SE",47.357929,-122.162895,24,"America/Los_Angeles",317.04,NA
"4330",4330,60490,"SE 272nd St & 150th Pl SE",47.357941,-122.140945,24,"America/Los_Angeles",317.04,NA
"4331",4331,60491,"SE 272nd St & 137th Ave SE",47.357914,-122.158516,24,"America/Los_Angeles",317.04,NA
"4332",4332,60494,"SE 272nd St & 137th Ave SE",47.358044,-122.159401,24,"America/Los_Angeles",317.03,NA
"4333",4333,60498,"SW Campus Dr & 1st Ave S",47.290638,-122.336662,24,"America/Los_Angeles",303.09,98003
"4334",4334,60499,"SW Campus Dr & 1st St S",47.290245,-122.336578,24,"America/Los_Angeles",303.1,NA
