,ozip,dzip,dzip.1,olat,olon,dlat,dlon
152,98118.0,98144.0,26,47.541,-122.273,47.587,-122.298
153,98118.0,98108.0,16,47.541,-122.273,47.537,-122.31
154,98118.0,98101.0,15,47.541,-122.273,47.611,-122.333
155,98118.0,98104.0,13,47.541,-122.273,47.605,-122.326
156,98118.0,98122.0,12,47.541,-122.273,47.608,-122.302
157,98119.0,98119.0,176,47.639,-122.366,47.639,-122.366
158,98119.0,98109.0,103,47.639,-122.366,47.629,-122.343
159,98119.0,98101.0,48,47.639,-122.366,47.611,-122.333
160,98119.0,98107.0,41,47.639,-122.366,47.67,-122.383
161,98119.0,98103.0,31,47.639,-122.366,47.671,-122.34
162,98119.0,98121.0,29,47.639,-122.366,47.613,-122.344
163,98119.0,98199.0,21,47.639,-122.366,47.65,-122.398
164,98119.0,98104.0,20,47.639,-122.366,47.605,-122.326
165,98119.0,98122.0,12,47.639,-122.366,47.608,-122.302
166,98121.0,98121.0,178,47.613,-122.344,47.613,-122.344
167,98121.0,98101.0,87,47.613,-122.344,47.611,-122.333
168,98121.0,98109.0,81,47.613,-122.344,47.629,-122.343
169,98121.0,98104.0,37,47.613,-122.344,47.605,-122.326
170,98121.0,98119.0,25,47.613,-122.344,47.639,-122.366
171,98121.0,98103.0,20,47.613,-122.344,47.671,-122.34
172,98121.0,98105.0,18,47.613,-122.344,47.661,-122.293
173,98121.0,98122.0,18,47.613,-122.344,47.608,-122.302
174,98121.0,98102.0,16,47.613,-122.344,47.633,-122.322
175,98121.0,98107.0,14,47.613,-122.344,47.67,-122.383
176,98121.0,98134.0,13,47.613,-122.344,47.578,-122.333
177,98122.0,98122.0,530,47.608,-122.302,47.608,-122.302
178,98122.0,98112.0,128,47.608,-122.302,47.634,-122.293
179,98122.0,98101.0,110,47.608,-122.302,47.611,-122.333
180,98122.0,98104.0,90,47.608,-122.302,47.605,-122.326
181,98122.0,98144.0,87,47.608,-122.302,47.587,-122.298
182,98122.0,98102.0,74,47.608,-122.302,47.633,-122.322
183,98122.0,98109.0,50,47.608,-122.302,47.629,-122.343
184,98122.0,98103.0,36,47.608,-122.302,47.671,-122.34
185,98122.0,98105.0,32,47.608,-122.302,47.661,-122.293
186,98122.0,98121.0,21,47.608,-122.302,47.613,-122.344
187,98122.0,98115.0,19,47.608,-122.302,47.683,-122.292
188,98122.0,98107.0,14,47.608,-122.302,47.67,-122.383
189,98122.0,98134.0,13,47.608,-122.302,47.578,-122.333
190,98122.0,98118.0,12,47.608,-122.302,47.541,-122.273
191,98122.0,98119.0,11,47.608,-122.302,47.639,-122.366
192,98125.0,98125.0,402,47.718,-122.302,47.718,-122.302
193,98125.0,98115.0,100,47.718,-122.302,47.683,-122.292
194,98125.0,98133.0,46,47.718,-122.302,47.742,-122.344
195,98125.0,98105.0,36,47.718,-122.302,47.661,-122.293
196,98125.0,98103.0,33,47.718,-122.302,47.671,-122.34
197,98125.0,98109.0,23,47.718,-122.302,47.629,-122.343
198,98125.0,98104.0,17,47.718,-122.302,47.605,-122.326
199,98125.0,98101.0,12,47.718,-122.302,47.611,-122.333
200,98126.0,98126.0,76,47.549,-122.376,47.549,-122.376
201,98126.0,98116.0,56,47.549,-122.376,47.575,-122.396
202,98126.0,98136.0,26,47.549,-122.376,47.535,-122.387
203,98126.0,98106.0,21,47.549,-122.376,47.536,-122.353
204,98126.0,98109.0,12,47.549,-122.376,47.629,-122.343
205,98126.0,98146.0,12,47.549,-122.376,47.501,-122.357
206,98133.0,98133.0,126,47.742,-122.344,47.742,-122.344
207,98133.0,98125.0,43,47.742,-122.344,47.718,-122.302
208,98133.0,98103.0,41,47.742,-122.344,47.671,-122.34
209,98133.0,98117.0,30,47.742,-122.344,47.686,-122.38
210,98133.0,98115.0,21,47.742,-122.344,47.683,-122.292
211,98133.0,98109.0,14,47.742,-122.344,47.629,-122.343
212,98133.0,98105.0,13,47.742,-122.344,47.661,-122.293
213,98133.0,98101.0,12,47.742,-122.344,47.611,-122.333
214,98134.0,98134.0,32,47.578,-122.333,47.578,-122.333
215,98134.0,98104.0,22,47.578,-122.333,47.605,-122.326
216,98134.0,98101.0,17,47.578,-122.333,47.611,-122.333
217,98134.0,98144.0,17,47.578,-122.333,47.587,-122.298
218,98134.0,98108.0,13,47.578,-122.333,47.537,-122.31
219,98134.0,98103.0,12,47.578,-122.333,47.671,-122.34
220,98134.0,98109.0,11,47.578,-122.333,47.629,-122.343
221,98136.0,98136.0,58,47.535,-122.387,47.535,-122.387
222,98136.0,98116.0,34,47.535,-122.387,47.575,-122.396
223,98136.0,98126.0,28,47.535,-122.387,47.549,-122.376
224,98144.0,98144.0,161,47.587,-122.298,47.587,-122.298
225,98144.0,98122.0,79,47.587,-122.298,47.608,-122.302
226,98144.0,98104.0,33,47.587,-122.298,47.605,-122.326
227,98144.0,98118.0,30,47.587,-122.298,47.541,-122.273
228,98144.0,98108.0,28,47.587,-122.298,47.537,-122.31
229,98144.0,98101.0,18,47.587,-122.298,47.611,-122.333
230,98144.0,98112.0,17,47.587,-122.298,47.634,-122.293
231,98144.0,98134.0,16,47.587,-122.298,47.578,-122.333
232,98144.0,98195.0,16,47.587,-122.298,47.65,-122.31
233,98144.0,98102.0,11,47.587,-122.298,47.633,-122.322
234,98146.0,98106.0,15,47.501,-122.357,47.536,-122.353
235,98146.0,98146.0,13,47.501,-122.357,47.501,-122.357
236,98178.0,98178.0,11,47.493,-122.25,47.493,-122.25
237,98195.0,98105.0,123,47.65,-122.31,47.661,-122.293
238,98195.0,98195.0,63,47.65,-122.31,47.65,-122.31
239,98195.0,98115.0,29,47.65,-122.31,47.683,-122.292
240,98195.0,98103.0,23,47.65,-122.31,47.671,-122.34
241,98195.0,98102.0,21,47.65,-122.31,47.633,-122.322
242,98195.0,98109.0,14,47.65,-122.31,47.629,-122.343
243,98195.0,98144.0,14,47.65,-122.31,47.587,-122.298
244,98195.0,98125.0,12,47.65,-122.31,47.718,-122.302
245,98195.0,98112.0,11,47.65,-122.31,47.634,-122.293
246,98199.0,98199.0,78,47.65,-122.398,47.65,-122.398
247,98199.0,98119.0,19,47.65,-122.398,47.639,-122.366
248,98199.0,98107.0,14,47.65,-122.398,47.67,-122.383
249,98199.0,98109.0,11,47.65,-122.398,47.629,-122.343
